Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
2:24:56,2:25:45,red,orisa, sigma, mccree, pharah, ana, mercy, orisa, sigma, mccree, pharah, baptiste, mercy, 85,29,25,100,27,100,100,100,37,100,100,75,pharah orisa sigma ,baptiste mercy orisa sigma mccree pharah ,51,0,77,2,18,10,68,35,using,14,30,21,red,baptiste,red,mccree,0,8
2:27:57,2:28:14,blue,dva, winston, genji, pharah, ana, mercy, orisa, sigma, bastion, pharah, baptiste, mercy, 38,22,23,0,7,10,12,8,40,0,20,21,,,56,33,60,17,23,50,0,30,74,18,32,32,Null,Null,blue,pharah,6,3
2:28:49,2:28:59,red,dva, winston, genji, pharah, ana, mercy, orisa, sigma, doomfist, reaper, lucio, moira, 67,50,94,30,44,72,25,44,7,29,15,9,,,0,70,100,33,61,87,44,61,29,51,30,29,Null,Null,red,moira,0,1
2:29:33,2:29:47,blue,orisa, sigma, genji, pharah, ana, mercy, orisa, sigma, doomfist, reaper, lucio, moira, 19,100,100,10,94,100,95,83,42,10,48,38,genji ana ,moira ,37,0,0,36,100,100,1,100,48,50,65,46,blue,genji,blue,pharah,6,1
2:30:12,2:31:21,red,orisa, sigma, genji, pharah, ana, mercy, orisa, sigma, doomfist, reaper, lucio, moira, 45,6,1,43,100,100,8,100,55,96,69,51,mercy pharah ana genji orisa ,orisa moira doomfist lucio ,1,3,4,100,37,6,44,46,16,100,3,100,red,orisa,red,sigma,2,7
2:31:46,2:32:11,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 8,17,4,100,5,3,61,59,23,100,6,100,sigma ,sigma ,23,52,64,4,28,56,100,72,69,19,68,100,red,sigma,red,sigma,1,5
2:32:31,2:32:46,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 29,65,71,9,33,61,100,78,75,24,75,100,,moira reaper ,40,100,95,18,62,74,14,97,100,40,93,0,red,moira,red,reaper,0,6
2:33:3,2:33:28,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 45,100,100,22,65,77,18,100,100,49,96,14,doomfist moira reaper ,orisa doomfist ,63,12,35,15,100,using,52,24,16,59,100,47,red,orisa,red,reaper,6,1
2:33:57,2:34:25,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 73,34,43,38,100,6,99,32,14,65,100,53,,moira ,93,96,90,77,100,32,34,86,56,91,100,95,red,moira,red,sigma,1,3
2:34:43,2:35:15,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 98,100,97,10,100,36,43,100,61,98,100,100,moira orisa doomfist lucio sigma ,orisa lucio sigma reaper moira ,10,24,56,6,15,80,1,7,97,18,20,23,blue,moira,blue,orisa,3,6
2:38:53,2:39:8,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, mccree, lucio, moira, 25,99,45,21,34,26,74,22,20,28,41,52,moira ,moira ,32,2,1,41,54,47,using,45,76,45,73,70,blue,moira,red,mccree,0,5
2:39:32,2:39:54,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, mccree, lucio, moira, 40,29,8,46,7,53,10,66,79,58,79,100,,mccree ,62,83,54,86,18,74,74,88,100,82,100,5,red,mccree,blue,orisa,1,5
2:40:13,2:40:32,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 67,95,60,90,25,78,88,97,100,86,100,10,,orisa doomfist ,76,100,66,100,47,88,100,using,30,99,100,34,red,orisa,red,doomfist,0,4
2:40:58,2:41:16,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 83,100,73,100,52,93,100,17,37,100,100,40,moira reaper doomfist ,moira sigma lucio ,95,8,51,100,74,2,19,31,68,0,using,76,blue,moira,red,reaper,1,6
2:42:28,2:42:53,red,orisa, sigma, reaper, symmetra, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 18,79,28,20,43,25,60,23,61,39,30,25,moira ,moira ,78,10,62,67,60,62,9,56,100,66,100,62,blue,moira,red,doomfist,0,5
2:43:24,2:43:32,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 86,37,0,73,65,7,26,65,100,79,100,70,,doomfist ,93,53,74,85,79,19,43,94,6,100,100,86,red,doomfist,red,doomfist,0,5
2:44:4,2:44:30,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 100,76,82,93,89,30,66,100,16,100,100,94,orisa moira sigma ,orisa reaper moira lucio ,0,10,97,0,100,45,23,33,37,100,1,18,red,orisa,blue,orisa,1,5
2:44:47,2:45:5,blue,orisa, wrecking_ball, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 15,24,100,1,100,50,37,47,42,100,13,26,reaper ,,54,60,8,27,100,100,77,63,78,100,48,66,blue,reaper,red,doomfist,5,3
2:45:31,2:46:22,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 61,69,17,3,100,100,88,71,87,100,53,72,doomfist lucio moira orisa ,moira orisa sigma reaper ,0,1,69,26,2,35,66,26,100,36,80,using,blue,doomfist,red,orisa,3,10
2:47:34,2:48:8,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 15,47,37,8,31,29,41,35,34,37,29,12,moira ,moira ,47,2,87,41,64,90,5,61,69,82,83,80,blue,moira,blue,lucio,2,7
2:48:32,2:48:48,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 56,26,94,51,73,98,38,75,76,72,94,87,doomfist ,,76,83,100,67,100,16,39,86,100,100,100,100,blue,doomfist,blue,doomfist,5,0
2:49:11,2:49:34,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 84,47,100,77,100,22,90,99,100,100,100,100,moira reaper ,doomfist moira reaper ,95,9,3,100,100,86,22,100,27,100,100,2,red,doomfist,red,reaper,1,6
2:49:56,2:50:22,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 100,31,12,100,100,99,36,100,39,100,100,8,doomfist lucio orisa moira ,sigma orisa moira ,1,0,56,100,4,22,using,12,90,41,100,67,blue,doomfist,red,doomfist,1,4
2:50:37,2:50:58,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 4,14,66,100,23,32,17,23,95,50,100,78,sigma ,doomfist lucio ,26,63,89,16,39,39,63,45,16,67,0,100,blue,sigma,red,doomfist,1,4
