Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
0:19:26,0:19:41,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 64,27,65,23,100,35,13,34,62,36,20,32,,,77,32,100,27,100,45,30,85,92,56,56,85,Null,Null,red,reaper,0,6
0:20:7,0:20:26,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 100,41,100,38,100,100,42,100,100,66,7,100,moira doomfist reaper ,moira mei ,3,54,21,45,100,1,73,1,5,97,96,100,blue,moira,red,mei,2,6
0:20:44,0:21:18,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 10,59,26,49,100,7,78,6,15,100,100,100,lucio ,sigma reaper orisa lucio ,100,100,71,100,32,51,8,100,53,35,30,9,red,sigma,red,orisa,4,2
0:21:44,0:21:52,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 100,100,78,100,44,67,15,100,61,43,41,24,orisa moira ,moira ,using,using,99,100,51,70,18,using,70,45,52,27,blue,orisa,blue,sigma,3,0
0:22:18,0:22:36,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 17,8,100,100,69,79,26,29,86,51,64,34,doomfist ,,35,34,0,100,86,100,39,73,100,58,82,53,blue,doomfist,blue,doomfist,4,1
0:22:59,0:24:11,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 50,40,17,100,94,100,46,88,100,63,90,58,sigma reaper moira lucio orisa ,lucio moira mei reaper orisa sigma moira ,36,7,10,67,3,60,6,4,60,10,84,23,blue,sigma,blue,reaper,3,12
0:26:31,0:26:56,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 33,22,13,23,42,0,20,66,24,45,21,31,moira ,moira ,36,66,44,75,77,42,62,15,72,93,67,87,blue,moira,red,reaper,1,5
0:27:23,0:28:0,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 61,77,52,81,43,48,72,44,80,100,82,96,moira lucio orisa sigma doomfist ,sigma doomfist moira lucio orisa reaper ,32,26,31,0,27,97,60,19,20,54,0,36,red,sigma,blue,reaper,3,6
0:28:36,0:28:45,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 92,60,26,29,50,100,20,70,39,80,40,25,reaper moira ,moira ,using,67,58,49,72,15,31,6,73,89,62,27,blue,reaper,blue,sigma,6,1
0:29:9,0:30:6,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 15,77,65,58,77,22,38,10,79,96,71,33,sigma moira lucio orisa doomfist ,doomfist sigma lucio moira ,20,using,20,45,10,88,89,42,29,16,13,75,red,doomfist,blue,doomfist,7,1
0:30:37,0:31:15,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 38,19,35,66,26,100,99,89,44,23,23,90,reaper moira sigma ,orisa moira reaper ,21,53,100,19,99,18,28,78,98,54,100,3,red,orisa,blue,orisa,3,7
0:31:45,0:32:12,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, doomfist, reaper, lucio, moira, 40,66,100,18,100,26,44,88,100,65,100,12,lucio doomfist ,doomfist lucio moira ,100,77,14,49,10,37,74,2,16,86,37,55,red,doomfist,red,orisa,6,1
0:32:47,0:32:55,blue,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, reaper, sombra, lucio, moira, 100,97,3,62,31,86,86,58,18,100,40,66,orisa moira reaper ,sigma ,using,3,20,65,45,using,93,10,24,1,63,72,blue,orisa,blue,reaper,5,0
0:33:14,0:33:30,red,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, reaper, sombra, lucio, moira, 6,12,25,0,47,4,98,85,38,5,66,77,,orisa moira ,50,38,32,96,61,19,0,0,67,49,83,10,red,orisa,blue,sigma,1,5
0:33:52,0:34:7,red,reinhardt, sigma, mei, reaper, lucio, mercy, orisa, sigma, reaper, sombra, lucio, moira, 2,4,39,100,70,24,8,6,79,55,88,86,sigma ,lucio sombra reaper ,16,16,61,13,86,39,43,42,using,69,0,6,blue,sigma,red,reaper,0,6
0:38:58,0:39:13,red,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, hanzo, pharah, mercy, zenyatta, 1,1,1,1,0,1,1,1,16,1,1,1,,,32,17,31,22,26,5,17,0,87,23,44,21,Null,Null,red,pharah,1,6
